signal_index,signal_name,block_path,num_channels,num_samples,csv_path,png_path,conversion_note
51,Selector8,ESP32_UDP_UART_Bridge/To Workspace8,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\051_Selector8.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\051_Selector8.png,time_dim_last [1     1  2858]
52,MATLAB System:5,ESP32_UDP_UART_Bridge/MATLAB System,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\052_MATLABSystem_5.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\052_MATLABSystem_5.png,time_dim_last [1     1  2858]
53,MATLAB System:6,ESP32_UDP_UART_Bridge/MATLAB System,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\053_MATLABSystem_6.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\053_MATLABSystem_6.png,time_dim_last [1     1  2858]
54,MATLAB System:7,ESP32_UDP_UART_Bridge/MATLAB System,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\054_MATLABSystem_7.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\054_MATLABSystem_7.png,time_dim_last [1     1  2858]
55,Mux3:1(2),ESP32_UDP_UART_Bridge/Subsystem/Mux3,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\055_Mux3_1_2_.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\055_Mux3_1_2_.png,vector
56,Mux1(2),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\056_Mux1_2_.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\056_Mux1_2_.png,vector
57,Mux1(3),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\057_Mux1_3_.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\057_Mux1_3_.png,vector
58,Mux1(4),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\058_Mux1_4_.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\058_Mux1_4_.png,vector
59,Mux1(5),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\059_Mux1_5_.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\059_Mux1_5_.png,vector
60,Mux1(6),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\060_Mux1_6_.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\060_Mux1_6_.png,vector
61,Mux_Trajectory_X(2),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\061_Mux_Trajectory_X_2_.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\061_Mux_Trajectory_X_2_.png,vector
62,Mux_Trajectory_X(3),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\062_Mux_Trajectory_X_3_.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\062_Mux_Trajectory_X_3_.png,vector
63,Mux_Trajectory_X(4),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\063_Mux_Trajectory_X_4_.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\063_Mux_Trajectory_X_4_.png,vector
64,Mux_Trajectory_X(5),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\064_Mux_Trajectory_X_5_.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\064_Mux_Trajectory_X_5_.png,vector
65,Mux_Trajectory_X(6),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\065_Mux_Trajectory_X_6_.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\065_Mux_Trajectory_X_6_.png,vector
