time_s,safe_speed_norm
0.85,14
0.855,14
0.86,14
0.865,14
0.87,14
0.875,14
0.88,14
0.885,14
0.89,14
0.895,14
0.9,14
0.905,14
0.91,14
0.915,14
0.92,14
0.925,14
0.93,14
0.935,14
0.94,14
0.945,14
0.95,14
0.955,14
0.96,14
0.965,14
0.97,14
0.975,14
0.98,14
0.985,14
0.99,14
0.995,14
1,14
1.005,14
1.01,14
1.015,14
1.02,14
1.025,14
1.03,14
1.035,14
1.04,14
1.045,14
1.05,14
1.055,14
1.06,14
1.065,14
1.07,14
1.075,14
1.08,14
1.085,14
1.09,14
1.095,14
1.1,14
1.105,14
1.11,14
1.115,14
1.12,14
1.125,14
1.13,14
1.135,14
1.14,14
1.145,14
1.15,14
1.155,14
1.16,14
1.165,14
1.17,14
1.175,14
1.18,14
1.185,14
1.19,14
1.195,14
1.2,14
1.205,14
1.21,14
1.215,14
1.22,14
1.225,14
1.23,14
1.235,14
1.24,14
1.245,14
1.25,14
1.255,14
1.26,14
1.265,14
1.27,14
1.275,14
1.28,14
1.285,14
1.29,14
1.295,14
1.3,14
1.305,14
1.31,14
1.315,14
1.32,14
1.325,14
1.33,14
1.335,14
1.34,14
1.345,14
1.35,14
1.355,14
1.36,14
1.365,14
1.37,14
1.375,14
1.38,14
1.385,14
1.39,14
1.395,14
1.4,14
1.405,14
1.41,14
1.415,14
1.42,14
1.425,14
1.43,14
1.435,14
1.44,14
1.445,14
1.45,14
1.455,14
1.46,14
1.465,14
1.47,14
1.475,14
1.48,14
1.485,14
1.49,14
1.495,14
1.5,14
1.505,14
1.51,14
1.515,14
1.52,14
1.525,14
1.53,14
1.535,14
1.54,14
1.545,14
1.55,14
1.555,14
1.56,14
1.565,14
1.57,14
1.575,14
1.58,14
1.585,14
1.59,14
1.595,14
1.6,14
1.605,14
1.61,14
1.615,14
1.62,14
1.625,14
1.63,14
1.635,14
1.64,14
1.645,14
1.65,14
1.655,14
1.66,14
1.665,14
1.67,14
1.675,14
1.68,14
1.685,14
1.69,14
1.695,14
1.7,14
1.705,14
1.71,14
1.715,14
1.72,14
1.725,14
1.73,14
1.735,14
1.74,14
1.745,14
1.75,14
1.755,14
1.76,14
1.765,14
1.77,14
1.775,14
1.78,14
1.785,14
1.79,14
1.795,14
1.8,14
1.805,14
1.81,14
1.815,14
1.82,14
1.825,14
1.83,14
1.835,14
1.84,14
1.845,14
1.85,14
1.855,14
1.86,14
1.865,14
1.87,14
1.875,14
1.88,14
1.885,14
1.89,14
1.895,14
1.9,14
1.905,14
1.91,14
1.915,14
1.92,14
1.925,14
1.93,14
1.935,14
1.94,14
1.945,14
1.95,14
1.955,14
1.96,14
1.965,14
1.97,14
1.975,14
1.98,14
1.985,14
1.99,14
1.995,14
2,14
2.005,14
2.01,14
2.015,14
2.02,14
2.025,14
2.03,14
2.035,14
2.04,14
2.045,14
2.05,14.0100002
2.055,14.0100002
2.06,14.0100002
2.065,14.0100002
2.07,14.0100002
2.075,14.0100002
2.08,14.0100002
2.085,14.0100002
2.09,14.0100002
2.095,14.0100002
2.1,14.0100002
2.105,14.0100002
2.11,14.0100002
2.115,14.0100002
2.12,14.0100002
2.125,14.0100002
2.13,14.0100002
2.135,14.0100002
2.14,14.0100002
2.145,14.0100002
2.15,14.0100002
2.155,14.0100002
2.16,14.0100002
2.165,14.0100002
2.17,14.0100002
2.175,14.0100002
2.18,14.0100002
2.185,14.0100002
2.19,14.0100002
2.195,14.0100002
2.2,14.0100002
2.205,14.0100002
2.21,14.0100002
2.215,14.0100002
2.22,14.0100002
2.225,14.0100002
2.23,14.0100002
2.235,14.0100002
2.24,14.0100002
2.245,14.0100002
2.25,14.0100002
2.255,14.0100002
2.26,14.0100002
2.265,14.0100002
2.27,14.0100002
2.275,14.0100002
2.28,14.0100002
2.285,14.0100002
2.29,14.0100002
2.295,14.0100002
2.3,14.0100002
2.305,14.0100002
2.31,14.0100002
2.315,14.0100002
2.32,14.0100002
2.325,14.0100002
2.33,14.0100002
2.335,14.0100002
2.34,14.0100002
2.345,14.0100002
2.35,14.0100002
2.355,14.0100002
2.36,14.0100002
2.365,14.0100002
2.37,14.0100002
2.375,14.0100002
2.38,14.0100002
2.385,14.0100002
2.39,14.0100002
2.395,14.0100002
2.4,14.0100002
2.405,14.0100002
2.41,14.0100002
2.415,14.0100002
2.42,14.0100002
2.425,14.0100002
2.43,14.0100002
2.435,14.0100002
2.44,14.0100002
2.445,14.0100002
2.45,14.0100002
2.455,14.0100002
2.46,14.0100002
2.465,14.0100002
2.47,14.0100002
2.475,14.0100002
2.48,14.0100002
2.485,14.0100002
2.49,14.0100002
2.495,14.0100002
2.5,14.0100002
2.505,14.0100002
2.51,14.0100002
2.515,14.0100002
2.52,14.0100002
2.525,14.0100002
2.53,14.0100002
2.535,14.0100002
2.54,14.0100002
2.545,14.0100002
2.55,14.0100002
2.555,14.0100002
2.56,14.0100002
2.565,14.0100002
2.57,14.0100002
2.575,14.0100002
2.58,14.0100002
2.585,14.0100002
2.59,14.0100002
2.595,14.0100002
2.6,14.0100002
2.605,14.0100002
2.61,14.0100002
2.615,14.0100002
2.62,14.0100002
2.625,14.0100002
2.63,14.0100002
2.635,14.0100002
2.64,14.0100002
2.645,14.0100002
2.65,14.0100002
2.655,14.0100002
2.66,14.0100002
2.665,14.0100002
2.67,14.0100002
2.675,14.0100002
2.68,14.0100002
2.685,14.0100002
2.69,14.0100002
2.695,14.0100002
2.7,14.0100002
2.705,14.0100002
2.71,14.0100002
2.715,14.0100002
2.72,14.0100002
2.725,14.0100002
2.73,14.0100002
2.735,14.0100002
2.74,14.0100002
2.745,14
2.75,14
2.755,14
2.76,14
2.765,14
2.77,14
2.775,14
2.78,14
2.785,14
2.79,14
2.795,14
2.8,14
2.805,14
2.81,14
2.815,14
2.82,14
2.825,14
2.83,14
2.835,14
2.84,14
2.845,14
2.85,14
2.855,14
2.86,14
2.865,14
2.87,14
2.875,14
2.88,14
2.885,14
2.89,14
2.895,14
2.9,14
2.905,14
2.91,14
2.915,14
2.92,14
2.925,14
2.93,14
2.935,14
2.94,14
2.945,14
2.95,14
2.955,14
2.96,14
2.965,14
2.97,14
2.975,14
2.98,14
2.985,14
2.99,14
2.995,14
3,14
3.005,14
3.01,14
3.015,14
3.02,14
3.025,14
3.03,14
3.035,14
3.04,14
3.045,14
3.05,14.0100002
3.055,14.0100002
3.06,14.0100002
3.065,14.0100002
3.07,14.0100002
3.075,14.0100002
3.08,14.0100002
3.085,14.0100002
3.09,14.0100002
3.095,14.0100002
3.1,14.0100002
3.105,14.0100002
3.11,14.0100002
3.115,14.0100002
3.12,14.0100002
3.125,14.0100002
3.13,14.0100002
3.135,14.0100002
3.14,14.0100002
3.145,14.0100002
3.15,14.0100002
3.155,14.0100002
3.16,14.0100002
3.165,14.0100002
3.17,14.0100002
3.175,14.0100002
3.18,14.0100002
3.185,14.0100002
3.19,14.0100002
3.195,14.0100002
3.2,14.0100002
3.205,14.0100002
3.21,14.0100002
3.215,14.0100002
3.22,14.0100002
3.225,14.0100002
3.23,14.0100002
3.235,14.0100002
3.24,14.0100002
3.245,14.0100002
3.25,14.0100002
3.255,14.0100002
3.26,14.0100002
3.265,14.0100002
3.27,14.0100002
3.275,14.0100002
3.28,14.0100002
3.285,14.0100002
3.29,14.0100002
3.295,14.0100002
3.3,14.0100002
3.305,14.0100002
3.31,14.0100002
3.315,14.0100002
3.32,14.0100002
3.325,14.0100002
3.33,14.0100002
3.335,14.0100002
3.34,14.0100002
3.345,14.0100002
3.35,14.0100002
3.355,14.0100002
3.36,14.0100002
3.365,14.0100002
3.37,14.0100002
3.375,14.0100002
3.38,14.0100002
3.385,14.0100002
3.39,14.0100002
3.395,14.0100002
3.4,14.0100002
3.405,14.0100002
3.41,14.0100002
3.415,14.0100002
3.42,14.0100002
3.425,14.0100002
3.43,14.0100002
3.435,14.0100002
3.44,14.0100002
3.445,14.0100002
3.45,14.0100002
3.455,14.0100002
3.46,14.0100002
3.465,14.0100002
3.47,14.0100002
3.475,14.0100002
3.48,14.0100002
3.485,14.0100002
3.49,14.0100002
3.495,14.0100002
3.5,14.0100002
3.505,14.0100002
3.51,14.0100002
3.515,14.0100002
3.52,14.0100002
3.525,14.0100002
3.53,14.0100002
3.535,14.0100002
3.54,14.0100002
3.545,14.0100002
3.55,14.0100002
3.555,14.0100002
3.56,14.0100002
3.565,14.0100002
3.57,14.0100002
3.575,14.0100002
3.58,14.0100002
3.585,14.0100002
3.59,14.0100002
3.595,14.0100002
3.6,14.0100002
3.605,14.0100002
3.61,14.0100002
3.615,14.0100002
3.62,14.0100002
3.625,14.0100002
3.63,14.0100002
3.635,14.0100002
3.64,14.0100002
3.645,14.0100002
3.65,14.0100002
3.655,14.0100002
3.66,14.0100002
3.665,14.0100002
3.67,14.0100002
3.675,14.0100002
3.68,14.0100002
3.685,14.0100002
3.69,14.0100002
3.695,14.0100002
3.7,14.0100002
3.705,14.0100002
3.71,14.0100002
3.715,14.0100002
3.72,14.0100002
3.725,14.0100002
3.73,14.0100002
3.735,14.0100002
3.74,14.0100002
3.745,14.0100002
3.75,14.0100002
3.755,14
3.76,14
3.765,14
3.77,14
3.775,14
3.78,14
3.785,14
3.79,14
3.795,14
3.8,14
3.805,14
3.81,14
3.815,14
3.82,14
3.825,14
3.83,14
3.835,14
3.84,14
3.845,14
3.85,14
3.855,14
3.86,14
3.865,14
3.87,14
3.875,14
3.88,14
3.885,14
3.89,14
3.895,14
3.9,14
3.905,14
3.91,14
3.915,14
3.92,14
3.925,14
3.93,14
3.935,14
3.94,14
3.945,14
3.95,14
3.955,14
3.96,14
3.965,14
3.97,14
3.975,14
3.98,14
3.985,14
3.99,14
3.995,14
4,14
4.005,14
4.01,14
4.015,14
4.02,14
4.025,14
4.03,14
4.035,14
4.04,14
4.045,14
4.05,14
4.055,14
4.06,14
4.065,14
4.07,14
4.075,14
4.08,14
4.085,14
4.09,14
4.095,14
4.1,14
4.105,14
4.11,14
4.115,14
4.12,14
4.125,14
4.13,14
4.135,14
4.14,14
4.145,14
4.15,14
4.155,14
4.16,14
4.165,14
4.17,14
4.175,14
4.18,14
4.185,14
4.19,14
4.195,14
4.2,14
4.205,14
4.21,14
4.215,14
4.22,14
4.225,14
4.23,14
4.235,14
4.24,14
4.245,14
4.25,14
4.255,14
4.26,14
4.265,14
4.27,14
4.275,14
4.28,14
4.285,14
4.29,14
4.295,14
4.3,14
4.305,14
4.31,14
4.315,14
4.32,14
4.325,14
4.33,14
4.335,14
4.34,14
4.345,14
4.35,14
4.355,14
4.36,14
4.365,14
4.37,14
4.375,14
4.38,14
4.385,14
4.39,14
4.395,14
4.4,14
4.405,14
4.41,14
4.415,14
4.42,14
4.425,14
4.43,14
4.435,14
4.44,14
4.445,14
4.45,14
4.455,14
4.46,14
4.465,14
4.47,14
4.475,14
4.48,14
4.485,14
4.49,14
4.495,14
4.5,14
4.505,14
4.51,14
4.515,14
4.52,14
4.525,14
4.53,14
4.535,14
4.54,14
4.545,14
4.55,14
4.555,14
4.56,14
4.565,14
4.57,14
4.575,14
4.58,14
4.585,14
4.59,14
4.595,14
4.6,14
4.605,14
4.61,14
4.615,14
4.62,14
4.625,14
4.63,14
4.635,14
4.64,14
4.645,14
4.65,14
4.655,14
4.66,14
4.665,14
4.67,14
4.675,14
4.68,14
4.685,14
4.69,14
4.695,14
4.7,14
4.705,14
4.71,14
4.715,14
4.72,14
4.725,14
4.73,14
4.735,14
4.74,14
4.745,14
4.75,14
4.755,14
4.76,14
4.765,14
4.77,14
4.775,14
4.78,14
4.785,14
4.79,14
4.795,14
4.8,14
4.805,14
4.81,14
4.815,14
4.82,14
4.825,14
4.83,14
4.835,14
4.84,14
4.845,14
4.85,14
4.855,14
4.86,14
4.865,14
4.87,14
4.875,14
4.88,14
4.885,14
4.89,14
4.895,14
4.9,14
4.905,14
4.91,14
4.915,14
4.92,14
4.925,14
4.93,14
4.935,14
4.94,14
4.945,14
4.95,14
4.955,14
4.96,14
4.965,14
4.97,14
4.975,14
4.98,14
4.985,14
4.99,14
4.995,14
5,14
5.005,14
5.01,14
5.015,14
5.02,14
5.025,14
5.03,14
5.035,14
5.04,14
5.045,14
5.05,14
5.055,14
5.06,14
5.065,14
5.07,14
5.075,14
5.08,14
5.085,14
5.09,14
5.095,14
5.1,14
5.105,14
5.11,14
5.115,14
5.12,14
5.125,14
5.13,14
5.135,14
5.14,14
5.145,14
5.15,14
5.155,14
5.16,14
5.165,14
5.17,14
5.175,14
5.18,14
5.185,14
5.19,14
5.195,14
5.2,14
5.205,14
5.21,14
5.215,14
5.22,14
5.225,14
5.23,14
5.235,14
5.24,14
5.245,14
5.25,14
5.255,14
5.26,14
5.265,14
5.27,14
5.275,14
5.28,14
5.285,14
5.29,14
5.295,14
5.3,14
5.305,14
5.31,14
5.315,14
5.32,14
5.325,14
5.33,14
5.335,14
5.34,14
5.345,14
5.35,14
5.355,14
5.36,14
5.365,14
5.37,14
5.375,14
5.38,14
5.385,14
5.39,14
5.395,14
5.4,14
5.405,14
5.41,14
5.415,14
5.42,14
5.425,14
5.43,14
5.435,14
5.44,14
5.445,14
5.45,14
5.455,14
5.46,14
5.465,14
5.47,14
5.475,14
5.48,14
5.485,14
5.49,14
5.495,14
5.5,14
5.505,14
5.51,14
5.515,14
5.52,14
5.525,14
5.53,14
5.535,14
5.54,14
5.545,14
5.55,14
5.555,14
5.56,14
5.565,14
5.57,14
5.575,14
5.58,14
5.585,14
5.59,14
5.595,14
5.6,14
5.605,14
5.61,14
5.615,14
5.62,14
5.625,14
5.63,14
5.635,14
5.64,14
5.645,14
5.65,14
5.655,14
5.66,14
5.665,14
5.67,14
5.675,14
5.68,14
5.685,14
5.69,14
5.695,14
5.7,14
5.705,14
5.71,14
5.715,14
5.72,14
5.725,14
5.73,14
5.735,14
5.74,14
5.745,14
5.75,14
5.755,14
5.76,14
5.765,14
5.77,14
5.775,14
5.78,14
5.785,14
5.79,14
5.795,14
5.8,14
5.805,14
5.81,14
5.815,14
5.82,14
5.825,14
5.83,14
5.835,14
5.84,14
5.845,14
5.85,14
5.855,14
5.86,14
5.865,14
5.87,14
5.875,14
5.88,14
5.885,14
5.89,14
5.895,14
5.9,14
5.905,14
5.91,14
5.915,14
5.92,14
5.925,14
5.93,14
5.935,14
5.94,14
5.945,14
5.95,14
5.955,14
5.96,14
5.965,14
5.97,14
5.975,14
5.98,14
5.985,14
5.99,14
5.995,14
6,14
6.005,14
6.01,14
6.015,14
6.02,14
6.025,14
6.03,14
6.035,14
6.04,14
6.045,14
6.05,14
6.055,14
6.06,14
6.065,14
6.07,14
6.075,14
6.08,14
6.085,14
6.09,14
6.095,14
6.1,14
6.105,14
