scope_folder,panel_index,panel_title,signal_label,matched,signal_id,csv_path,png_light_path,png_dark_path,status
Moving_X_Scope_Yaw_Wrapped_rep2,1,,safe_yaw_u,1,62698,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Yaw_Wrapped_rep2\csv\safe_yaw_u.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Yaw_Wrapped_rep2\png\Moving_X_Scope_Yaw_Wrapped_rep2_scope.png,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Yaw_Wrapped_rep2\png\Moving_X_Scope_Yaw_Wrapped_rep2_scope_dark.png,ok
Moving_X_Scope_Yaw_Wrapped_rep2,2,,safe_to_drive,0,0,,,,not_found
Moving_X_Scope_Yaw_Wrapped_rep2,2,,safe_speed_norm,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,1,,src1_valid,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,1,,src1_deadman,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,1,,src1_move_en,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,1,,src2_valid,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,1,,src2_deadman,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,1,,src2_move_en,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,2,,fused_available,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,2,,operator_stop_request,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,2,,fused_source_id,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,2,,fusion_mode,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,2,,active_sources_mask,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,2,,candidate_sources_mask,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,3,,pose_valid,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,3,,deadman_out,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,3,,move_en_out,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,3,,safe_to_drive,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,3,,hold_mode,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,3,,soft_decay,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,3,,hard_stop,0,0,,,,not_found
Moving_X_Scope_Control_data_rep2,3,,safe_speed_norm,0,0,,,,not_found
Moving_X_Scope_UART_ATU1_data_rep2,1,,valid,0,0,,,,not_found
Moving_X_Scope_UART_ATU1_data_rep2,1,,deadman,0,0,,,,not_found
Moving_X_Scope_UART_ATU1_data_rep2,1,,move_en,0,0,,,,not_found
Moving_X_Scope_UART_ATU1_data_rep2,1,,fused_available,0,0,,,,not_found
Moving_X_Scope_UART_ATU1_data_rep2,1,,safe_to_drive,0,0,,,,not_found
Moving_X_Scope_UART_ATU1_data_rep2,1,,hard_stop,0,0,,,,not_found
