pc_time_iso,pc_time_unix,sender_ip,sender_port,source_id,now_ms,tx_counter,rx_ok_total,crc_bad_total,seq_lost_total,duplicate_or_old_total,valid_count,deadman_count,move_en_count,last_seq,last_gap_ms,max_gap_ms,avg_gap_ms,loss_permille,loss_percent,valid_ratio_percent,session_id,session_rx_ok,session_lost,session_max_gap_ms,age_ms,last_unity_t_ms,source_seen,fresh_300ms,in_session,last_valid,last_deadman,last_move_en,last_port_id,last_error_code
2026-07-02T00:21:37.873+02:00,1782944497.873005,192.168.0.37,5005,1,110000,22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:21:42.888+02:00,1782944502.888188,192.168.0.37,5005,1,115000,23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:21:47.904+02:00,1782944507.904734,192.168.0.37,5005,1,120000,24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:22:07.873+02:00,1782944527.873552,192.168.0.37,5005,1,140000,28,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:22:12.890+02:00,1782944532.890238,192.168.0.37,5005,1,145000,29,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:22:17.908+02:00,1782944537.908958,192.168.0.37,5005,1,150000,30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:22:42.893+02:00,1782944562.893538,192.168.0.37,5005,1,175000,35,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:22:47.811+02:00,1782944567.811365,192.168.0.37,5005,1,180000,36,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:22:52.828+02:00,1782944572.828666,192.168.0.37,5005,1,185000,37,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T00:23:07.880+02:00,1782944587.880287,192.168.0.37,5005,1,200000,40,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
